Model,Threshold,ROC AUC,Accuracy,Precision,Recall,F1
Gradient Boosting,0.0475,0.8753287630296931,0.7478896714877143,0.14631873252562907,0.8780760626398211,0.25083879213931937
Gradient Boosting,0.5,0.8753287630296931,0.9518253669552127,0.3333333333333333,0.0022371364653243847,0.0044444444444444444
Random Forest,0.0475,0.870820468693041,0.7248239152642615,0.13786008230452676,0.8993288590604027,0.23907225691347012
Random Forest,0.5,0.870820468693041,0.951932899618259,0.0,0.0,0.0
AdaBoost,0.0475,0.869853212006113,0.04806710038174095,0.04806710038174095,1.0,0.09172523469963577
AdaBoost,0.5,0.869853212006113,0.9520404322813054,1.0,0.0022371364653243847,0.004464285714285714
Logistic Regression,0.0475,0.867816413290903,0.7463842142050647,0.14503249767873724,0.8736017897091722,0.24876572702659658
Logistic Regression,0.5,0.867816413290903,0.951932899618259,0.5,0.006711409395973154,0.013245033112582781
Decision Tree,0.0475,0.8577057378980774,0.7436958976289048,0.14158800666296503,0.8557046979865772,0.2429728442115293
Decision Tree,0.5,0.8577057378980774,0.9513414699715038,0.21052631578947367,0.0044742729306487695,0.008762322015334063
SVM,0.0475,0.6772623603211216,0.27630517769772567,0.059149593039573393,0.9429530201342282,0.11131651921299353
SVM,0.5,0.6772623603211216,0.9515027689660734,0.21428571428571427,0.003355704697986577,0.006607929515418502
